age,marital_status,education_level,occupation,purchase_amount,frequency_of_purchase,brand_loyalty,product_rating,time_spent_on_product_research(hours),social_media_influence,discount_sensitivity,return_rate,customer_satisfaction,engagement_with_ads,device_used_for_shopping,discount_used,customer_loyalty_program_member,purchase_intent,shipping_preference,time_to_decision,gender_Bigender,gender_Female,gender_Genderfluid,gender_Genderqueer,gender_Male,gender_Non-Binary,gender_Polygender,income_level_Middle,purchase_category_Arts & Crafts,purchase_category_Baby Products,purchase_category_Beauty & Personal Care,purchase_category_Books,purchase_category_Clothing,purchase_category_Electronics,purchase_category_Food & Beverages,purchase_category_Furniture,purchase_category_Gardening & Outdoors,purchase_category_Groceries,purchase_category_Health Care,purchase_category_Health Supplements,purchase_category_Home Appliances,purchase_category_Hotels,purchase_category_Jewelry & Accessories,purchase_category_Luxury Goods,purchase_category_Mobile Accessories,purchase_category_Office Supplies,purchase_category_Packages),purchase_category_Software & Apps,purchase_category_Sports & Outdoors,purchase_category_Toys & Games,purchase_category_Travel & Leisure (Flights,purchase_channel_Mixed,purchase_channel_Online,payment_method_Credit Card,payment_method_Debit Card,payment_method_Other,payment_method_PayPal,segmento_cliente_En Riesgo / Perdidos,segmento_cliente_Leales / Potenciales,segmento_cliente_Otros
-1.3161384535431284,Married,Bachelor's,Middle,0.44677389689701286,4,5,5,2.0,,Somewhat Sensitive,1,7,,Tablet,True,False,Need-based,No Preference,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1.572006722469913,Married,High School,High,-0.4019548140864276,11,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,True,False,Wants-based,Standard,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
-1.1022017738384586,Single,Master's,High,1.1497628507336284,2,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,True,True,Impulsive,No Preference,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
-0.5673600745767843,Single,Master's,Middle,-1.3216517888579615,6,3,1,1.0,High,Somewhat Sensitive,0,1,,Smartphone,True,True,Need-based,Express,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
-0.13948671516744487,Widowed,High School,Middle,-0.4819747642526384,6,3,4,0.0,Medium,Not Sensitive,2,10,,Smartphone,False,False,Wants-based,No Preference,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1.1441333630605734,Married,Master's,High,1.6193095735245207,8,3,3,0.0,High,Not Sensitive,2,3,,Tablet,False,False,Planned,No Preference,7,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
-1.4231067933954633,Divorced,High School,Middle,1.6075195618555445,12,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,True,False,Need-based,Express,13,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
0.5023233239465643,Single,High School,Middle,-0.4335976841141307,6,5,4,1.0,Low,Somewhat Sensitive,2,9,,Desktop,False,True,Impulsive,No Preference,13,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
-1.1022017738384586,Divorced,Master's,Middle,-0.5560616762886547,8,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,False,False,Need-based,Standard,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.9952334339861237,Married,Bachelor's,High,1.0935511176796076,7,2,5,1.0,,Somewhat Sensitive,1,5,Medium,Tablet,True,False,Need-based,No Preference,13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
